"loss","learning_rate","epoch","perplexity","steps","samples"
3.7974,5e-05,0.0,44.58511237276223,50,400
3.7962,5e-05,0.0,44.531642326359155,50,400
3.1167,5e-05,0.0,22.57176976436141,100,800
3.1157,5e-05,0.0,22.54920927672091,100,800
2.9922,5e-05,0.0,19.929479151707675,150,1200
2.9943,5e-05,0.0,19.971375033205096,150,1200
2.8176,5e-05,0.0,16.736634509225993,200,1600
2.8192,5e-05,0.0,16.763434558763038,200,1600
2.5876,5e-05,0.0,13.297818510396947,250,2000
2.5893,5e-05,0.0,13.320444028105697,250,2000
2.5956,5e-05,0.01,13.404627725692766,300,2400
2.5924,5e-05,0.01,13.361801475515891,300,2400
2.4323,5e-05,0.01,11.385037576075733,350,2800
2.4317,5e-05,0.01,11.378208602427053,350,2800
2.4194,5e-05,0.01,11.239113823142803,400,3200
2.4201,5e-05,0.01,11.246983957044506,400,3200
2.3843,5e-05,0.01,10.851463980904757,450,3600
2.3863,5e-05,0.01,10.873188626270382,450,3600
2.3626,5e-05,0.01,10.61852375467062,500,4000
2.3631,5e-05,0.01,10.623834344084674,500,4000
2.298,5e-05,0.01,9.954254024977738,550,4400
2.2962,5e-05,0.01,9.936352483953113,550,4400
2.2828,5e-05,0.01,9.804093475057458,600,4800
2.2807,5e-05,0.01,9.783526481661273,600,4800
2.2264,5e-05,0.01,9.266446752478918,650,5200
2.2254,5e-05,0.01,9.257184937405794,650,5200
2.1356,5e-05,0.01,8.462122257338544,700,5600
2.1389,5e-05,0.01,8.490093387769173,700,5600
2.1276,5e-05,0.01,8.394695346532865,750,6000
2.1305,5e-05,0.01,8.419075296879534,750,6000
2.1238,5e-05,0.01,8.362856037217034,800,6400
2.1216,5e-05,0.01,8.344477977213641,800,6400
2.0972,5e-05,0.01,8.143336618342126,850,6800
2.0981,5e-05,0.01,8.150668920339603,850,6800
2.0886,5e-05,0.02,8.073604202595687,900,7200
2.089,5e-05,0.02,8.076834290251188,900,7200
1.9941,5e-05,0.02,7.3455890219148285,950,7600
1.9941,5e-05,0.02,7.3455890219148285,950,7600
2.1021,5e-05,0.02,8.183336888399804,1000,8000
2.1032,5e-05,0.02,8.192343511711698,1000,8000
2.0118,5e-05,0.02,7.476763416376082,1050,8400
2.0137,5e-05,0.02,7.490982770976411,1050,8400
2.0118,5e-05,0.02,7.476763416376082,1050,8400
1.9877,5e-05,0.02,7.298727369416898,1100,8800
1.9862,5e-05,0.02,7.287787485327069,1100,8800
1.9877,5e-05,0.02,7.298727369416898,1100,8800
1.9258,5e-05,0.02,6.86063497906456,1150,9200
