"loss","learning_rate","epoch","perplexity","steps","samples","model"
3.9345,5e-05,0.0,51.13657527588203,50,400,"PolyCoder"
3.3672,5e-05,0.0,28.9972210635471,100,800,"PolyCoder"
2.9824,5e-05,0.0,19.735124151009728,150,1200,"PolyCoder"
2.9487,5e-05,0.0,19.081132125922156,200,1600,"PolyCoder"
2.9319,5e-05,0.0,18.76324681940862,250,2000,"PolyCoder"
2.6628,5e-05,0.01,14.336374801949153,300,2400,"PolyCoder"
2.6249,5e-05,0.01,13.803193797669056,350,2800,"PolyCoder"
2.6475,5e-05,0.01,14.11869774329668,400,3200,"PolyCoder"
2.5025,5e-05,0.01,12.21298829764394,450,3600,"PolyCoder"
2.4752,5e-05,0.01,11.884083692172005,500,4000,"PolyCoder"
2.3901,5e-05,0.01,10.914585347005566,550,4400,"PolyCoder"
2.3986,5e-05,0.01,11.007754731382056,600,4800,"PolyCoder"
2.4082,5e-05,0.01,11.113938041203898,650,5200,"PolyCoder"
2.2924,5e-05,0.01,9.898665994194037,700,5600,"PolyCoder"
2.2283,5e-05,0.01,9.284069737843142,750,6000,"PolyCoder"
2.2513,5e-05,0.01,9.500077913557796,800,6400,"PolyCoder"
2.3319,5e-05,0.01,10.297488185395682,850,6800,"PolyCoder"
2.2606,5e-05,0.02,9.58884074556553,900,7200,"PolyCoder"
2.2127,5e-05,0.02,9.14036208401207,950,7600,"PolyCoder"
2.1626,5e-05,0.02,8.693711950237915,1000,8000,"PolyCoder"
2.2004,5e-05,0.02,9.028624226931251,1050,8400,"PolyCoder"
2.2186,5e-05,0.02,9.194449621644917,1100,8800,"PolyCoder"
2.1917,5e-05,0.02,8.950415895696247,1150,9200,"PolyCoder"
2.0964,5e-05,0.02,8.136824554220413,1200,9600,"PolyCoder"
2.1072,5e-05,0.02,8.22517851197909,1250,10000,"PolyCoder"
2.1229,5e-05,0.02,8.355332852724374,1300,10400,"PolyCoder"
2.0529,5e-05,0.02,7.7904607151373435,1350,10800,"PolyCoder"
2.1466,5e-05,0.02,8.555719442920246,1400,11200,"PolyCoder"
1.9904,5e-05,0.03,7.318460561135231,1450,11600,"PolyCoder"
2.0577,5e-05,0.03,7.82794481644369,1500,12000,"PolyCoder"
2.0693,5e-05,0.03,7.919277682795701,1550,12400,"PolyCoder"
2.0635,5e-05,0.03,7.873478817334735,1600,12800,"PolyCoder"
2.0462,5e-05,0.03,7.738439095376184,1650,13200,"PolyCoder"
1.9431,5e-05,0.03,6.980356570022814,1700,13600,"PolyCoder"
1.9794,5e-05,0.03,7.238398642802953,1750,14000,"PolyCoder"
2.0737,5e-05,0.03,7.954199275764381,1800,14400,"PolyCoder"
1.9373,5e-05,0.03,6.939987684851058,1850,14800,"PolyCoder"
1.9477,5e-05,0.03,7.012540175787773,1900,15200,"PolyCoder"
1.9754,5e-05,0.03,7.209502878288447,1950,15600,"PolyCoder"
1.8909,5e-05,0.03,6.6253287945047665,2000,16000,"PolyCoder"
1.9366,5e-05,0.04,6.935131393371979,2050,16400,"PolyCoder"
1.9234,5e-05,0.04,6.844189197946122,2100,16800,"PolyCoder"
1.8513,5e-05,0.04,6.368092664358222,2150,17200,"PolyCoder"
1.879,5e-05,0.04,6.546954632989411,2200,17600,"PolyCoder"
1.8881,5e-05,0.04,6.606803820946116,2250,18000,"PolyCoder"
