"loss","learning_rate","epoch","perplexity","steps","samples","model"
4.5758,5e-05,0.0,97.1056926254968,50,1600,"GPT2-Medium"
3.7833,5e-05,0.01,43.960873514301454,100,3200,"GPT2-Medium"
3.4432,5e-05,0.01,31.286916282132594,150,4800,"GPT2-Medium"
3.2667,5e-05,0.01,26.224655031214002,200,6400,"GPT2-Medium"
3.0971,5e-05,0.02,22.133670474945003,250,8000,"GPT2-Medium"
2.9612,5e-05,0.02,19.321143221708507,300,9600,"GPT2-Medium"
2.9241,5e-05,0.02,18.6174627910521,350,11200,"GPT2-Medium"
2.8459,5e-05,0.03,17.21704704044919,400,12800,"GPT2-Medium"
2.7945,5e-05,0.03,16.354449483768388,450,14400,"GPT2-Medium"
2.7576,5e-05,0.03,15.761968792351258,500,16000,"GPT2-Medium"
2.6609,5e-05,0.04,14.309161550600884,550,17600,"GPT2-Medium"
2.6756,5e-05,0.04,14.521059862240167,600,19200,"GPT2-Medium"
2.6485,5e-05,0.04,14.132823502742552,650,20800,"GPT2-Medium"
2.5695,5e-05,0.05,13.059293161669977,700,22400,"GPT2-Medium"
2.5769,5e-05,0.05,13.156290378137037,750,24000,"GPT2-Medium"
2.5195,5e-05,0.06,12.422383918561438,800,25600,"GPT2-Medium"
2.5192,5e-05,0.06,12.418657762337254,850,27200,"GPT2-Medium"
2.4624,5e-05,0.06,11.73293682451812,900,28800,"GPT2-Medium"
2.4351,5e-05,0.07,11.416960352319272,950,30400,"GPT2-Medium"
2.4442,5e-05,0.07,11.521328847951906,1000,32000,"GPT2-Medium"
2.4026,5e-05,0.07,11.051873929878996,1050,33600,"GPT2-Medium"
2.4352,5e-05,0.08,11.41810210544121,1100,35200,"GPT2-Medium"
2.3622,5e-05,0.08,10.6142771945374,1150,36800,"GPT2-Medium"
2.3558,5e-05,0.08,10.5465627378855,1200,38400,"GPT2-Medium"
2.3598,5e-05,0.09,10.5888334739482,1250,40000,"GPT2-Medium"
2.321,5e-05,0.09,10.185855069912932,1300,41600,"GPT2-Medium"
2.293,5e-05,0.09,9.904606975906837,1350,43200,"GPT2-Medium"
2.3092,5e-05,0.1,10.066368338245955,1400,44800,"GPT2-Medium"
2.3073,5e-05,0.1,10.047260396696064,1450,46400,"GPT2-Medium"
2.2603,5e-05,0.1,9.585964524796546,1500,48000,"GPT2-Medium"
2.25,5e-05,0.11,9.487735836358526,1550,49600,"GPT2-Medium"
2.2617,5e-05,0.11,9.59939427376201,1600,51200,"GPT2-Medium"
2.2326,5e-05,0.11,9.324077192097716,1650,52800,"GPT2-Medium"
2.2299,5e-05,0.12,9.298936139373419,1700,54400,"GPT2-Medium"
2.2521,5e-05,0.12,9.50768101672441,1750,56000,"GPT2-Medium"
2.1712,5e-05,0.12,8.768800290077374,1800,57600,"GPT2-Medium"
2.2042,5e-05,0.13,9.062998268308789,1850,59200,"GPT2-Medium"
2.2123,5e-05,0.13,9.136706670309945,1900,60800,"GPT2-Medium"
2.1991,5e-05,0.13,9.016894641318805,1950,62400,"GPT2-Medium"
2.1773,5e-05,0.14,8.822453447607918,2000,64000,"GPT2-Medium"
2.1829,5e-05,0.14,8.871997781573837,2050,65600,"GPT2-Medium"
2.1467,5e-05,0.15,8.556575057644563,2100,67200,"GPT2-Medium"
2.1838,5e-05,0.15,8.879986173814547,2150,68800,"GPT2-Medium"
