"name","full_name","clone_url","html_url","created_at","updated_at","language","size","stargazers_count","watchers_count","forks_count","topics","visibility","forks","open_issues","watchers"
"ompi","open-mpi/ompi","https://github.com/open-mpi/ompi.git","https://github.com/open-mpi/ompi","2014-09-16T16:08:30Z","2022-10-09T11:28:07Z","C",173156,1561,1561,733,"['c', 'fortran', 'hacktoberfest', 'hpc', 'mpi', 'openmpi']","public",733,624,1561
"blis","flame/blis","https://github.com/flame/blis.git","https://github.com/flame/blis","2014-01-22T15:58:24Z","2022-10-10T06:10:07Z","C",47107,1386,1386,290,"['blas', 'blas-libraries', 'blis', 'high-performance', 'high-performance-computing', 'hpc', 'linear-algebra', 'linear-algebra-library', 'matrix', 'matrix-calculations', 'matrix-functions', 'matrix-library', 'matrix-multiplication', 'optimization']","public",290,81,1386
"VkFFT","DTolm/VkFFT","https://github.com/DTolm/VkFFT.git","https://github.com/DTolm/VkFFT","2020-08-02T08:28:36Z","2022-10-09T23:29:13Z","C",34282,913,913,49,"['c2r', 'convolution', 'cuda', 'dct', 'fft', 'hip', 'hpc', 'levelzero', 'metal', 'opencl', 'r2c', 'r2r', 'vulkan']","public",49,30,913
"ucx","openucx/ucx","https://github.com/openucx/ucx.git","https://github.com/openucx/ucx","2014-10-17T22:17:24Z","2022-10-09T07:36:51Z","C",59822,745,745,310,"['aries', 'c', 'c-plus-plus', 'cray', 'drivers', 'gemini', 'hacktoberfest', 'hpc', 'infiniband', 'iwarp', 'mpi', 'networking', 'openshmem', 'pgas', 'rdma', 'roce', 'shared-memory', 'shmem', 'tcp-ip', 'verbs']","public",310,620,745
"ohpc","openhpc/ohpc","https://github.com/openhpc/ohpc.git","https://github.com/openhpc/ohpc","2015-09-28T18:20:29Z","2022-10-09T09:32:47Z","C",24020,684,684,168,"['clusters-management', 'devtools', 'hpc', 'linuxfoundation', 'mpi', 'package-repository', 'scientific-computing']","public",168,156,684
"openpbs","openpbs/openpbs","https://github.com/openpbs/openpbs.git","https://github.com/openpbs/openpbs","2016-05-18T04:31:29Z","2022-10-09T20:09:19Z","C",40220,557,557,294,"['cloud', 'cluster', 'green', 'hooks', 'hpc', 'job-scheduler', 'pbs', 'pbs-professional', 'plugins', 'provisioning', 'scheduling']","public",294,69,557
"hypre","hypre-space/hypre","https://github.com/hypre-space/hypre.git","https://github.com/hypre-space/hypre","2018-11-19T20:42:15Z","2022-10-09T06:15:34Z","C",217803,416,416,117,"['hpc', 'library', 'math-physics', 'radiuss']","public",117,131,416
"mpich","pmodels/mpich","https://github.com/pmodels/mpich.git","https://github.com/pmodels/mpich","2016-10-14T14:39:42Z","2022-10-02T16:50:39Z","C",82468,394,394,231,"['c', 'fortran', 'hpc', 'mpi']","public",231,156,394
"shifter","NERSC/shifter","https://github.com/NERSC/shifter.git","https://github.com/NERSC/shifter","2016-02-26T20:42:28Z","2022-10-08T02:01:01Z","C",3790,333,333,68,"['containers', 'hpc', 'linux']","public",68,46,333
"sundials","LLNL/sundials","https://github.com/LLNL/sundials.git","https://github.com/LLNL/sundials","2017-10-05T17:20:03Z","2022-09-25T13:05:05Z","C",110358,290,290,73,"['dae-solver', 'high-performance-computing', 'hpc', 'math-physics', 'nonlinear-equation-solver', 'ode-solver', 'parallel-computing', 'radiuss', 'scientific-computing', 'sensitivity-analysis', 'solver', 'time-integration']","public",73,26,290
