"name","full_name","clone_url","html_url","created_at","updated_at","language","size","stargazers_count","watchers_count","forks_count","topics","visibility","forks","open_issues","watchers"
"ompi","open-mpi/ompi","https://github.com/open-mpi/ompi.git","https://github.com/open-mpi/ompi","2014-09-16T16:08:30Z","2022-10-09T11:28:07Z","C",173156,1561,1561,733,"['c', 'fortran', 'hacktoberfest', 'hpc', 'mpi', 'openmpi']","public",733,623,1561
"blis","flame/blis","https://github.com/flame/blis.git","https://github.com/flame/blis","2014-01-22T15:58:24Z","2022-10-10T06:10:07Z","C",47107,1386,1386,290,"['blas', 'blas-libraries', 'blis', 'high-performance', 'high-performance-computing', 'hpc', 'linear-algebra', 'linear-algebra-library', 'matrix', 'matrix-calculations', 'matrix-functions', 'matrix-library', 'matrix-multiplication', 'optimization']","public",290,81,1386
"VkFFT","DTolm/VkFFT","https://github.com/DTolm/VkFFT.git","https://github.com/DTolm/VkFFT","2020-08-02T08:28:36Z","2022-10-09T23:29:13Z","C",34282,913,913,49,"['c2r', 'convolution', 'cuda', 'dct', 'fft', 'hip', 'hpc', 'levelzero', 'metal', 'opencl', 'r2c', 'r2r', 'vulkan']","public",49,30,913
"ucx","openucx/ucx","https://github.com/openucx/ucx.git","https://github.com/openucx/ucx","2014-10-17T22:17:24Z","2022-10-09T07:36:51Z","C",59822,745,745,310,"['aries', 'c', 'c-plus-plus', 'cray', 'drivers', 'gemini', 'hacktoberfest', 'hpc', 'infiniband', 'iwarp', 'mpi', 'networking', 'openshmem', 'pgas', 'rdma', 'roce', 'shared-memory', 'shmem', 'tcp-ip', 'verbs']","public",310,620,745
"ohpc","openhpc/ohpc","https://github.com/openhpc/ohpc.git","https://github.com/openhpc/ohpc","2015-09-28T18:20:29Z","2022-10-09T09:32:47Z","C",24020,684,684,168,"['clusters-management', 'devtools', 'hpc', 'linuxfoundation', 'mpi', 'package-repository', 'scientific-computing']","public",168,156,684
"openpbs","openpbs/openpbs","https://github.com/openpbs/openpbs.git","https://github.com/openpbs/openpbs","2016-05-18T04:31:29Z","2022-10-09T20:09:19Z","C",40220,557,557,294,"['cloud', 'cluster', 'green', 'hooks', 'hpc', 'job-scheduler', 'pbs', 'pbs-professional', 'plugins', 'provisioning', 'scheduling']","public",294,69,557
"hypre","hypre-space/hypre","https://github.com/hypre-space/hypre.git","https://github.com/hypre-space/hypre","2018-11-19T20:42:15Z","2022-10-09T06:15:34Z","C",217803,416,416,117,"['hpc', 'library', 'math-physics', 'radiuss']","public",117,131,416
"mpich","pmodels/mpich","https://github.com/pmodels/mpich.git","https://github.com/pmodels/mpich","2016-10-14T14:39:42Z","2022-10-02T16:50:39Z","C",82468,394,394,231,"['c', 'fortran', 'hpc', 'mpi']","public",231,156,394
"shifter","NERSC/shifter","https://github.com/NERSC/shifter.git","https://github.com/NERSC/shifter","2016-02-26T20:42:28Z","2022-10-08T02:01:01Z","C",3790,333,333,68,"['containers', 'hpc', 'linux']","public",68,46,333
"sundials","LLNL/sundials","https://github.com/LLNL/sundials.git","https://github.com/LLNL/sundials","2017-10-05T17:20:03Z","2022-09-25T13:05:05Z","C",110358,290,290,73,"['dae-solver', 'high-performance-computing', 'hpc', 'math-physics', 'nonlinear-equation-solver', 'ode-solver', 'parallel-computing', 'radiuss', 'scientific-computing', 'sensitivity-analysis', 'solver', 'time-integration']","public",73,26,290
"visit","visit-dav/visit","https://github.com/visit-dav/visit.git","https://github.com/visit-dav/visit","2019-01-13T23:27:26Z","2022-10-10T12:40:55Z","C",364095,264,264,81,"['data-analysis', 'data-viz', 'hpc', 'python', 'radiuss', 'scientific-computing', 'scientific-visualization', 'visualization']","public",81,1703,264
"nsimd","agenium-scale/nsimd","https://github.com/agenium-scale/nsimd.git","https://github.com/agenium-scale/nsimd","2019-04-10T09:47:03Z","2022-10-02T00:52:24Z","C",7251,261,261,27,"['aarch64', 'avx', 'avx2', 'avx512', 'cpp20', 'cpp20-library', 'cuda', 'hpc', 'neon', 'neon128', 'rocm', 'simd', 'simd-instructions', 'simd-library', 'simd-programming', 'sse2', 'sse42', 'sve', 'vectorization-library']","public",27,16,261
"libCEED","CEED/libCEED","https://github.com/CEED/libCEED.git","https://github.com/CEED/libCEED","2017-12-06T17:57:40Z","2022-10-06T21:07:58Z","C",14230,128,128,29,"['api', 'ceed', 'cuda', 'ecp', 'exascale-computing', 'gpu', 'high-order', 'high-performance-computing', 'hpc', 'julia', 'linear-algebra']","public",29,38,128
"mercury","mercury-hpc/mercury","https://github.com/mercury-hpc/mercury.git","https://github.com/mercury-hpc/mercury","2015-06-17T18:34:52Z","2022-09-15T01:57:04Z","C",6024,113,113,55,"['data-services', 'hpc', 'networking', 'rpc']","public",55,64,113
"flux-core","flux-framework/flux-core","https://github.com/flux-framework/flux-core.git","https://github.com/flux-framework/flux-core","2014-09-26T22:27:19Z","2022-08-30T00:41:04Z","C",42959,107,107,45,"['hpc', 'radiuss', 'resource-manager', 'workflows']","public",45,368,107
"cf4ocl","nunofachada/cf4ocl","https://github.com/nunofachada/cf4ocl.git","https://github.com/nunofachada/cf4ocl","2013-07-01T23:50:51Z","2022-09-27T12:34:41Z","C",3618,105,105,19,"['c', 'framework', 'gpgpu', 'gpu', 'hpc', 'opencl', 'opencl-api', 'opencl-objects', 'scientific-computing', 'wrapper']","public",19,18,105
"mckernel","RIKEN-SysSoft/mckernel","https://github.com/RIKEN-SysSoft/mckernel.git","https://github.com/RIKEN-SysSoft/mckernel","2018-08-17T02:06:58Z","2022-09-09T07:02:37Z","C",33203,88,88,18,"['hpc', 'operating-system', 'supercomputing']","public",18,6,88
"argobots","pmodels/argobots","https://github.com/pmodels/argobots.git","https://github.com/pmodels/argobots","2016-06-15T14:34:47Z","2022-09-24T08:12:45Z","C",4760,85,85,37,"['c', 'hpc', 'threading']","public",37,19,85
"ucc","openucx/ucc","https://github.com/openucx/ucc.git","https://github.com/openucx/ucc","2020-07-25T17:18:51Z","2022-10-04T11:04:24Z","C",15813,66,66,49,"['collectives', 'cuda', 'deep-learning', 'hpc', 'infiniband', 'mpi', 'openshmem', 'pgas', 'pytorch', 'roce', 'sharp']","public",49,49,66
"msr-safe","LLNL/msr-safe","https://github.com/LLNL/msr-safe.git","https://github.com/LLNL/msr-safe","2014-10-31T23:40:38Z","2022-09-30T05:27:05Z","C",5919,63,63,17,"['c', 'gov', 'hpc', 'kernel-module', 'llnl', 'msr', 'msr-safe', 'performance', 'performance-monitoring']","public",17,13,63
"PnetCDF","Parallel-NetCDF/PnetCDF","https://github.com/Parallel-NetCDF/PnetCDF.git","https://github.com/Parallel-NetCDF/PnetCDF","2017-04-18T03:27:23Z","2022-09-24T16:11:24Z","C",28211,61,61,16,"['c', 'c-plus-plus', 'fortran', 'hpc', 'mpi-io', 'netcdf', 'parallel', 'parallel-io', 'pnetcdf']","public",16,9,61
"libmsr","LLNL/libmsr","https://github.com/LLNL/libmsr.git","https://github.com/LLNL/libmsr","2014-08-13T17:40:53Z","2022-09-20T02:28:52Z","C",7015,48,48,21,"['c', 'counters', 'hpc', 'intel', 'performance', 'performance-analysis', 'power', 'thermal']","public",21,9,48
"SOS","Sandia-OpenSHMEM/SOS","https://github.com/Sandia-OpenSHMEM/SOS.git","https://github.com/Sandia-OpenSHMEM/SOS","2015-09-15T15:34:37Z","2022-06-29T18:21:00Z","C",5372,44,44,44,"['hpc', 'middleware', 'openshmem', 'parallel-computing', 'pgas']","public",44,96,44
"OpenMP-101","ysh329/OpenMP-101","https://github.com/ysh329/OpenMP-101.git","https://github.com/ysh329/OpenMP-101","2019-01-12T00:47:34Z","2022-09-23T00:27:43Z","C",8065,41,41,13,"['exercise', 'guide', 'guidebook', 'hpc', 'omp', 'omp-parallel', 'openmp', 'openmp-parallelization', 'tutorial']","public",13,4,41
"swiftsim","SWIFTSIM/swiftsim","https://github.com/SWIFTSIM/swiftsim.git","https://github.com/SWIFTSIM/swiftsim","2018-03-19T12:42:50Z","2022-09-13T07:09:34Z","C",94705,40,40,23,"['astrophysics', 'cosmology', 'gravity', 'hpc', 'hydrodynamics', 'mpi', 'nbody', 'nbody-simulation', 'simulations', 'sph', 'task-based']","public",23,6,40
"tacc_stats","TACC/tacc_stats","https://github.com/TACC/tacc_stats.git","https://github.com/TACC/tacc_stats","2014-06-25T17:42:03Z","2022-07-26T02:43:42Z","C",15057,36,36,14,"['hpc', 'metrics', 'performance-analysis', 'rabbitmq', 'xsede']","public",14,14,36
"slurm-drmaa","natefoo/slurm-drmaa","https://github.com/natefoo/slurm-drmaa.git","https://github.com/natefoo/slurm-drmaa","2017-07-11T22:27:06Z","2022-09-23T10:11:35Z","C",253,35,35,19,"['cluster', 'clusters', 'distributed-computing', 'drmaa', 'hpc', 'resource-management', 'slurm', 'slurm-job-scheduler']","public",19,20,35
